brand_name,model_name,condition_name,grade_name,gb_spec_name,colour_name,network_name,,,,,count
Alcatel,"POP 4 5051X","Non-working - Need Battery Cover And Battery","Grade B - Good Condition",4GB,Silver,Unlocked,,,,,1
Alcatel,"POP 4 5051X","Non-working - Need Battery Cover And Battery","Grade A - Very Good Condition",8GB,Silver,NOS-Portugal,,,,,1
Alcatel,"POP 4 5051X",Non-working,Unknown,8GB,Blue,Damaged,,,,,1
Alcatel,"POP 4 5051X",Blacklisted,"Grade C - Acceptable Condition",4GB,Silver,O2,,,,,1
Alcatel,"POP 4 5051X","Power On Tested-Good LCD","Grade D",4GB,Blue,Damaged,,,,,1
Alcatel,"POP 4 5051X",Blacklisted,"Grade B - Good Condition",8GB,Blue,O2,,,,,1
Alcatel,"POP 4 5051X",Working,"Grade D",8GB,Black,Unlocked,,,,,1
Alcatel,"POP 4+ 5056X","Brand New","Insurance Grade",16GB,Gold,Unlocked,,,,,1
Alcatel,"POP 4+ 5056X",Working,"Grade B B2B",16GB,Gold,Unlocked,,,,,1
Alcatel,"POP 4+ 5056X","Non-working - DeBrand","Not Graded",16GB,Black,Unlocked,,,,,1
Alcatel,"POP 4+ 5056X","Non-working - DeBrand","Grade A - Very Good Condition",16GB,Gold,Unlocked,,,,,1
Alcatel,"POP 4+ 5056X","Non-working - DeBrand","Grade A - Very Good Condition",16GB,"Metallic Grey",Unlocked,,,,,2
Alcatel,"POP 4+ 5056X",Non-working,Unknown,16GB,Black,NOS-Portugal,,,,,2
Alcatel,"POP 4+ 5056X",Non-working,Unknown,16GB,Black,Unlocked,,,,,1
Alcatel,"POP 4+ 5056X",Working,"Insurance Grade",16GB,Gold,NOS-Portugal,,,,,1
Alcatel,"POP 4+ 5056X","Non-working - DeBrand","Grade B - Good Condition",16GB,Grey,Unlocked,,,,,1
Alcatel,"POP 4+ 5056X",Non-working,Unknown,4GB,Grey,NOS-Portugal,,,,,1
Alcatel,"POP 4+ 5056X",Non-working,Unknown,16GB,Grey,Unlocked,,,,,2
Alcatel,"POP 4+ 5056X",Non-working,Unknown,4GB,Black,NOS-Portugal,,,,,4
Alcatel,"POP C1",Non-working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,"POP C1","Power On Tested-Broken LCD","Grade C - Acceptable Condition",4GB,White,Damaged,,,,,1
Alcatel,"POP C1",BER,"Grade D",4GB,Black,Damaged,,,,,2
Alcatel,"POP C1",Non-working,"Grade D",4GB,Black,Unlocked,,,,,1
Alcatel,"POP C1",Non-working,Unknown,4GB,White,Damaged,,,,,1
Alcatel,"POP C1",Non-working,"Grade D",4GB,Black,NOS-Portugal,,,,,1
Alcatel,"POP C1",Working,"Grade C - Acceptable Condition",4GB,Black,Unlocked,,,,,1
Alcatel,"POP C1",Working,"Grade B B2B","Not Applicable","Bluish Black",Unlocked,,,,,1
Alcatel,"POP C1",Working,"Grade C - Acceptable Condition","Not Applicable","Bluish Black",Unlocked,,,,,1
Alcatel,"POP C1","Non-working - Need Repair - Software","Not Graded","Not Applicable","Bluish Black",Unlocked,,,,,1
Alcatel,"POP C1 4015X",BER,"Grade D",2GB,Blue,"Not Applicable",,,,,1
Alcatel,"POP C1 4015X","Non-working - Need Battery Cover And Battery","Grade D",2GB,Blue,NOS-Portugal,,,,,2
Alcatel,"POP C1 4015X",Working,"Grade B - Good Condition",4GB,Blue,Unlocked,,,,,1
Alcatel,"POP C1 4015X",Working,"Grade A - Very Good Condition",4GB,Blue,Unlocked,,,,,1
Alcatel,"POP C1 4015X",Non-working,Unknown,4GB,Black,NOS-Portugal,,,,,1
Alcatel,"POP C1 4015X","Non-working - Need Repair - HardWare","Not Graded","Not Applicable",Blue,Unlocked,,,,,1
Alcatel,"POP C1 4015X",Working,"Grade B - Good Condition",4GB,White,Unlocked,,,,,1
Alcatel,"POP C1 4015X",Working,"Grade B - Good Condition",2GB,Blue,Unlocked,,,,,1
Alcatel,"POP C1 4015X","Non-working - Need Battery Cover And Battery","Grade B - Good Condition",4GB,White,NOS-Portugal,,,,,1
Alcatel,"POP C1 4015X","Working - Need Battery Cover and Battery","Grade A - Very Good Condition",4GB,Black,NOS-Portugal,,,,,1
Alcatel,"POP C1 4015X",Working,"Grade C - Acceptable Condition","Not Applicable",Pink,Unlocked,,,,,1
Alcatel,"POP C1 HELLO KITTY","Brand New","Insurance Grade",4GB,White,Unlocked,,,,,1
Alcatel,"POP C7",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,4
Alcatel,"POP S3",Working,"Grade C - Acceptable Condition","Not Applicable",Grey,Unlocked,,,,,1
Alcatel,"POP S3",Working,"Grade C - Acceptable Condition","Not Applicable",Pink,Unlocked,,,,,2
Alcatel,"POP S3","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Blue,Unlocked,,,,,1
Alcatel,"POP S3",Non-working,Unknown,"Not Applicable",Blue,Unlocked,,,,,1
Alcatel,"POP STAR",Non-working,Unknown,8GB,Silver,Damaged,,,,,1
Alcatel,"POP2 5042X","Power On Tested-Broken LCD","Grade C - Acceptable Condition",8GB,Black,Damaged,,,,,1
Alcatel,"SAN REMO MINI OT6012",Working,"Grade B - Good Condition",4GB,Blue,Unlocked,,,,,1
Alcatel,"SAN REMO MINI OT6012",Non-working,"Grade B - Good Condition",4GB,Blue,NOS-Portugal,,,,,1
Alcatel,"SAN REMO MINI OT6012",Non-working,"Not Graded",4GB,Grey,NOS-Portugal,,,,,1
Alcatel,"SAN REMO MINI OT6012",Non-working,Unknown,4GB,Blue,NOS-Portugal,,,,,1
Alcatel,"SAN REMO MINI OT6012","Non-working - DeBrand","Grade B - Good Condition",4GB,Pink,Unlocked,,,,,1
Alcatel,"SAN REMO MINI OT6012",Non-working,Unknown,4GB,Black,NOS-Portugal,,,,,1
Alcatel,"SIRU 5050X","Brand New","Insurance Grade",2GB,"Bluish Black",Unlocked,,,,,10
Alcatel,"SIRU 5050X",Working,"Grade A - Very Good Condition",2GB,"Bluish Black",Unlocked,,,,,14
Alcatel,"SIRU 5050X",Working,"Grade B - Good Condition",2GB,"Bluish Black",Unlocked,,,,,3
Alcatel,"SIRU 5050X",Working,"Grade C - Acceptable Condition",2GB,"Bluish Black",Unlocked,,,,,1
Alcatel,"SIRU 5050X",Working,"Grade B B2B",2GB,"Bluish Black",Unlocked,,,,,1
Alcatel,"SIRU 5050X","Working - Need Battery Cover","Insurance Grade","Not Applicable",Grey,NOS-Portugal,,,,,1
Alcatel,"SIRU 5050X","Power On Tested-Good LCD","Grade D",4GB,Blue,Unlocked,,,,,1
Alcatel,"SIRU 5050X",Working,"Insurance Grade",4GB,Blue,Unlocked,,,,,1
Alcatel,"SIRU 5050X","Non-working - Need Battery","Grade B - Good Condition",4GB,Blue,NOS-Portugal,,,,,1
Alcatel,"SIRU 5050X","Non-working - Need Battery","Grade D",4GB,Blue,NOS-Portugal,,,,,1
Alcatel,TPOP,"Brand New","Insurance Grade","Not Applicable",Pink,Unlocked,,,,,1
Alcatel,TPOP,Working,"Grade C - Acceptable Condition","Not Applicable",Pink,Unlocked,,,,,1
Alcatel,TPOP,Working,"Grade D","Not Applicable","Bluish Black",Foreign,,,,,1
Alcatel,U5,Working,"Grade B - Good Condition",8GB,Black,Unlocked,,,,,1
Alcatel,VM575,"Brand New","Insurance Grade","Not Applicable",White,Unlocked,,,,,2
Alcatel,VM575,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,1
Alcatel,VM585,Working,"Grade C - Acceptable Condition","Not Applicable",Red,Unlocked,,,,,1
Alcatel,VM585,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,2
Alcatel,VM585,Working,"Grade D","Not Applicable",Red,Unlocked,,,,,1
Alcatel,VM585,Working,"Grade B B2B","Not Applicable",Red,Unlocked,,,,,2
Alcatel,VM585,"Working - Need Battery Cover","Insurance Grade","Not Applicable",Black,Virgin,,,,,1
Alcatel,VM585,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,2
Alcatel,VM585,Working,"Grade A - Very Good Condition","Not Applicable",Red,Unlocked,,,,,1
Alcatel,VM585,Working,"Grade B B2B","Not Applicable",Black,Unlocked,,,,,1
Alcatel,"Y800 PORTABLE WIFI",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,7
Alcatel,"Y800 PORTABLE WIFI",BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,2
Alcatel,"Y800 PORTABLE WIFI",Working,"Grade D","Not Applicable",Black,Unlocked,,,,,1
Alcatel,"Y800 PORTABLE WIFI",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,28
Alcatel,"Y800 PORTABLE WIFI",BER,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,"Y800 PORTABLE WIFI","Non-working - Need Repair - HardWare","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,1
"ALLOY PRODUCTS CORP","AUTOCLAVE PRESSURE VESSEL + CONTROL PANEL",Working,"Insurance Grade",Unknown,White,"Not Applicable",,,,,1
"ALTEC LANSING","OCTIVE 102","Brand New","Brand New","Not Applicable",Black,"Not Applicable",,,,,13
ALTIUS,T08,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,1
Amazon," Kindle Fire HDX 8.9","Brand New","Brand New","Not Applicable",Black,"Not Applicable",,,,,10
Amazon," Kindle Fire HDX 8.9",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",,,,,2
Amazon,"FIRE 7",Non-working,Unknown,8GB,Black,"Not Applicable",,,,,1
Amazon,"FIRE HD 6\" 4TH GEN 8GB BLACK PW98VM TABLET""","Non-working - Need Repair - HardWare",Unknown,8GB,Black,"Not Applicable",,,,,1
Amazon,"kindle D01100",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",,,,,1
Amazon,"kindle D01100",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",,,,,1
Amazon,"Kindle Fire",Working,"Grade C - Acceptable Condition",8GB,Black,"Not Applicable",,,,,3
Amazon,"Kindle Fire HDX 7",Working,"Grade C - Acceptable Condition",2GB,Black,"Not Applicable",,,,,2
Amazon,"KINDLE PAPERWHITE  6\" 5TH GEN""",BER-Scrap,"Grade C - Acceptable Condition",4GB,Black,"Not Applicable",,,,,1
Amazon,"KINDLE PAPERWHITE  6\" 5TH GEN""",BER-Scrap,"Grade B - Good Condition",4GB,Black,"Not Applicable",,,,,1
Amazon,"Kindle Paperwhite 6\" 2ND gEN""",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",,,,,1
Amazon,PREMIUM,"Brand New","Brand New","Not Applicable",Black,"Not Applicable",,,,,3
"AMD RADEON",3450,Working,"Grade B - Good Condition",256MB,Red,"Not Applicable",,,,,42
"AMD RADEON",3470,Working,"Grade B - Good Condition",256MB,Red,"Not Applicable",,,,,1
"AMD RADEON",350X,Working,"Grade B - Good Condition",4GB,Green,"Not Applicable",,,,,10
"AMD RADEON","HD 6450",Working,"Grade B - Good Condition",1GB,Blue,"Not Applicable",,,,,11
"AMD RADEON","HD 6450",Working,"Grade B - Good Condition",512MB,Blue,"Not Applicable",,,,,1
"AMD RADEON","HD 6450","Brand New","Brand New",1GB,Blue,"Not Applicable",,,,,1
"AMD RADEON","HD 7470",Working,"Grade B - Good Condition",1GB,Green,"Not Applicable",,,,,16
"AMD RADEON","HD 7570",Working,"Grade B - Good Condition",1GB,Green,"Not Applicable",,,,,1
"AMD RADEON","R5 240 ",Working,"Grade B - Good Condition",1GB,Green,"Not Applicable",,,,,6
"AMD RADEON","R7 240",Working,"Grade B - Good Condition",2GB,Green,"Not Applicable",,,,,6
Apple," iPad 3 16GB WiFi 4G","Power On Tested-Good LCD",Unknown,16GB,White,Unknown,,,,,1
Apple," iPad 3 16GB WiFi 4G",Working,"Grade B - Good Condition",16GB,Silver,Unlocked,,,,,2
Apple," iPad 3 16GB WiFi 4G",Working,"Grade C - Acceptable Condition",16GB,Silver,Unlocked,,,,,1
Apple," iPad 4 16GB WiFi",Working,"Grade C - Acceptable Condition",16GB,Grey,Unlocked,,,,,1
Apple," iPad 4 16GB WiFi","Non-working - Need Repair - HardWare",Unknown,16GB,Grey,"Not Applicable",,,,,1
Apple," IPhone 4 16GB Unlocked",Working,"Grade C - Acceptable Condition",16GB,Black,Unlocked,,,,,1
Apple," IPhone 4 16GB Unlocked",Working,"Grade B - Good Condition",16GB,White,Unlocked,,,,,1
Apple," IPhone 4 16GB Unlocked",Working,"Grade B - Good Condition",16GB,Black,Unlocked,,,,,1
Apple," IPhone 4 16GB Unlocked",BER,"Grade D",16GB,Black,Unlocked,,,,,1
Apple," IPhone 4s 16GB Unlocked","Brand New","Insurance Grade",16GB,Black,Unlocked,,,,,2
Apple," IPhone 4s 16GB Unlocked",Working,"Grade B - Good Condition",16GB,Black,Unlocked,,,,,2
Apple," IPhone 4s 16GB Unlocked",Working,"Grade B B2B",16GB,White,Unlocked,,,,,1
Apple," iPod Touch 2nd Gen 8G",Working,"Grade C - Acceptable Condition",8GB,Silver,NOS-Portugal,,,,,1
Apple," iPod Touch 2nd Gen 8G",Working,"Grade C - Acceptable Condition",8GB,Silver,"Not Applicable",,,,,3
Apple," iPod Touch 64GB 4th gen",Working,"Grade C - Acceptable Condition",8GB,Grey,"Not Applicable",,,,,1
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",,,,,7
Apple,"-- DO NOT USE -- SMART COVER FOR IPAD MINI - MF059ZM/A","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",,,,,1
Apple,"-- DO NOT USE -- SMART COVER FOR IPAD MINI - MF059ZM/A",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",,,,,4
Apple,AIRPODS,Working,"Insurance Grade","Not Applicable",White,"Not Applicable",,,,,4
Apple,AIRPODS,Working,"Grade D","Not Applicable",White,"Not Applicable",,,,,1
Apple,AIRPODS,Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",,,,,18
Apple,AIRPODS,Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",,,,,16
Apple,AIRPODS,"Brand New","Insurance Grade","Not Applicable",White,"Not Applicable",,,,,1
Apple,"CASE FOR IPHONE 5C","Brand New","Brand New","Not Applicable",Yellow,"Not Applicable",,,,,2
Apple,"CASE FOR IPHONE 5C","Brand New","Brand New","Not Applicable",Green,"Not Applicable",,,,,1
Apple,"CASE FOR IPHONE 5S MF045ZM",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",,,,,3
Apple,"CASE FOR IPHONE 5S MF045ZM",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",,,,,1
Apple,"EARPHONES WITH REMOTE AND MIC MB770G/B","Brand New","Brand New","Not Applicable",White,"Not Applicable",,,,,2
Apple,EARPODS,"Brand New","Brand New","Not Applicable",White,"Not Applicable",,,,,48
Apple,EARPODS,Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",,,,,8
Apple,EARPODS,Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",,,,,38
Apple,EARPODS,"Brand New","Insurance Grade","Not Applicable",White,"Not Applicable",,,,,9
Apple,EARPODS,Working,"Insurance Grade","Not Applicable",White,"Not Applicable",,,,,12
Apple,"EARPODS - LIGHTNING CONNECTOR",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",,,,,25
Apple,"EARPODS - LIGHTNING CONNECTOR","Brand New","Brand New","Not Applicable",White,"Not Applicable",,,,,36
Apple,"EARPODS - LIGHTNING CONNECTOR",Working,"Insurance Grade","Not Applicable",White,"Not Applicable",,,,,9
Apple,"EARPODS - LIGHTNING CONNECTOR",Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",,,,,7
Apple,"EARPODS - LIGHTNING CONNECTOR",Working,"Grade C - Acceptable Condition","Not Applicable",White,"Not Applicable",,,,,1
Apple,"EARPODS - LIGHTNING CONNECTOR - FBA UK","Brand New","Brand New","Not Applicable",White,"Not Applicable",,,,,9
Apple,"EARPODS 3.5MM -  MNHF2ZM/A",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",,,,,7
Apple,"EARPODS 3.5MM -  MNHF2ZM/A","Brand New","Brand New","Not Applicable",White,"Not Applicable",,,,,3
Apple,"EARPODS 3.5MM -  MNHF2ZM/A",Working,"Insurance Grade","Not Applicable",White,"Not Applicable",,,,,7
Apple,"EARPODS 3.5MM -  MNHF2ZM/A",Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",,,,,1
Apple,"EARPODS MD827ZM/B",Working,"Insurance Grade","Not Applicable",White,"Not Applicable",,,,,10
Apple,"EARPODS MD827ZM/B",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",,,,,4
Apple,"EARPODS MD827ZM/B",Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",,,,,6
Apple,"EARPODS MD827ZM/B","Brand New","Brand New","Not Applicable",White,"Not Applicable",,,,,4
Apple,"IMAC 21\" A1174""",Working,"Grade C - Acceptable Condition",2GB,White,"Not Applicable",,,,,1
Apple,"IPAD (5TH GENERATION) WI-FI 9.7 32GB A1822",Working,"Grade A - Very Good Condition",32GB,Grey,"Not Applicable",,,,,1
Apple,"IPAD (5TH GENERATION) WI-FI 9.7 32GB A1822","Brand New","Brand New",32GB,Gold,"Not Applicable",,,,,1
Apple,"iPad 16gb with Wi-Fi + 3G A1337",Working,"Grade C - Acceptable Condition",16GB,Silver,Unlocked,,,,,1
Apple,"iPad 2 16GB WiFi A1395",Non-working,Unknown,16GB,Black,"Not Applicable",,,,,2
Apple,"iPad 2 16GB WiFi A1395",Working,"Grade B - Good Condition",16GB,Black,"Not Applicable",,,,,4
Apple,"iPad 2 16GB WiFi A1395",Working,"Grade B - Good Condition",16GB,Silver,"Not Applicable",,,,,3
Apple,"iPad 2 16GB WiFi A1395",Working,"Grade C - Acceptable Condition",16GB,Black,"Not Applicable",,,,,3
Apple,"iPad 2 16GB WiFi A1395",Working,"Grade C - Acceptable Condition",16GB,Silver,"Not Applicable",,,,,3
Apple,"iPad 2 16GB WiFi A1395",Working,"Grade B - Good Condition",16GB,Black,Unknown,,,,,2
Apple,"iPad 2 16GB WiFi A1395","Working – Minor Screen Burn","Grade C - Acceptable Condition",16GB,Black,"Not Applicable",,,,,1
Apple,"iPad 2 16GB WiFi A1395","Working – Minor Screen Burn","Grade B - Good Condition",16GB,Black,"Not Applicable",,,,,2
Apple,"iPad 2 16GB WiFi A1395","Working – Minor Screen Burn","Grade C - Acceptable Condition",16GB,Silver,"Not Applicable",,,,,1
Apple,"iPad 2 16GB WiFi A1395","Working - Minor Issue","Grade C - Acceptable Condition",16GB,Black,"Not Applicable",,,,,2
Apple,"iPad 2 16GB WiFi A1395","Working - Minor Issue","Grade C - Acceptable Condition",16GB,White,"Not Applicable",,,,,1
Apple,"iPad 2 16GB WiFi A1395","Working – Minor Screen Burn","Grade D",16GB,Grey,"Not Applicable",,,,,1
Apple,"iPad 2 16GB WiFi A1395","Non-working - Need Repair - HardWare",Unknown,16GB,Grey,"Not Applicable",,,,,4
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396",Working,"Grade B - Good Condition",16GB,White,Unlocked,,,,,2
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396","Power On Tested-Good LCD",Unknown,16GB,Silver,Damaged,,,,,1
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396",Working,"Grade B - Good Condition",16GB,Silver,Unlocked,,,,,2
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396",Working,"Grade B - Good Condition",16GB,Black,Unlocked,,,,,1
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396",Working,"Grade C - Acceptable Condition",16GB,Black,Unlocked,,,,,7
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396",Working,"Grade C - Acceptable Condition",16GB,Silver,Unlocked,,,,,2
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396",Working,"Grade C - Acceptable Condition",16GB,Silver,Virgin,,,,,1
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396","Working - Minor Issue","Grade D",16GB,Silver,Unlocked,,,,,2
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396",Non-working,Unknown,32GB,Silver,Unlocked,,,,,1
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396","Working – Minor Screen Burn","Grade C - Acceptable Condition",16GB,Black,Unlocked,,,,,1
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396","Working - Minor Issue","Grade C - Acceptable Condition",16GB,Black,Unlocked,,,,,1
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396","Working - Minor Issue","Grade C - Acceptable Condition",16GB,White,"Not Applicable",,,,,1
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396","Non-working - Need Repair - Software",Unknown,32GB,Silver,Damaged,,,,,1
Apple,"iPad 2 32gb with Wi-Fi 3G A1396",Working,"Grade B - Good Condition",32GB,Grey,Unlocked,,,,,1
Apple,"iPad 2 32gb with Wi-Fi 3G A1396",Working,"Grade C - Acceptable Condition",32GB,Grey,Unlocked,,,,,1
Apple,"iPad 2 32gb with Wi-Fi A1395",Working,"Grade A - Very Good Condition",32GB,Grey,"Not Applicable",,,,,1
Apple,"iPad 2 32gb with Wi-Fi A1395",Working,"Grade C - Acceptable Condition",32GB,Black,"Not Applicable",,,,,1
Apple,"iPad 2 32gb with Wi-Fi A1395","Working – Major Screen Burn","Grade C - Acceptable Condition",16GB,White,"Not Applicable",,,,,1
Apple,"iPad 2 32gb with Wi-Fi A1395","Working – Major Screen Burn","Grade B - Good Condition",32GB,Black,"Not Applicable",,,,,1
Apple,"iPad 2 64gb with Wi-Fi + 3G A1396",Working,"Grade B - Good Condition",64GB,Grey,Unlocked,,,,,1
Apple,"iPad 2 64gb with Wi-Fi A1395",Working,"Grade B - Good Condition",64GB,Grey,"Not Applicable",,,,,1
Apple,"iPad 2 64gb with Wi-Fi A1395","Working - Minor Issue","Grade C - Acceptable Condition",16GB,White,"Not Applicable",,,,,1
Apple,"iPad 3 16GB WiFi 4G A1430",Working,"Grade A - Very Good Condition",16GB,Black,Unlocked,,,,,1
Apple,"iPad 3 16GB WiFi 4G A1430",Working,"Grade A - Very Good Condition",16GB,White,Unlocked,,,,,1
Apple,"iPad 3 16GB WiFi 4G A1430",Working,"Grade B - Good Condition",16GB,Silver,Unlocked,,,,,1
Apple,"iPad 3 16GB WiFi 4G A1430",Working,"Grade C - Acceptable Condition",16GB,White,Unlocked,,,,,1
Apple,"iPad 3 16GB WiFi 4G A1430",Working,"Grade C - Acceptable Condition",16GB,Silver,Unknown,,,,,1
Apple,"iPad 3 16GB WiFi 4G A1430","Working - Minor Issue","Grade D",16GB,Grey,"Not Applicable",,,,,1
Apple,"iPad 3 16GB WiFi A1416",Working,"Grade B - Good Condition",16GB,White,"Not Applicable",,,,,1
Apple,"iPad 3 32GB Wi-Fi 4G A1430",Working,"Grade B - Good Condition",32GB,Grey,Unlocked,,,,,1
Apple,"iPad 3 64GB WiFi 4G A1430","Power On Tested-Good LCD",Unknown,64GB,Grey,Damaged,,,,,1
Apple,"iPad 3 64GB WiFi 4G A1430",Working,"Grade B - Good Condition",64GB,Grey,Unlocked,,,,,1
Apple,"iPad 3 64GB WiFi 4G A1430",Working,"Grade C - Acceptable Condition",64GB,Black,Unlocked,,,,,1
Apple,"iPad 4 16GB Wi-Fi A1458",Working,"Grade C - Acceptable Condition",16GB,White,"Not Applicable",,,,,1
Apple,"iPad 4 16GB Wi-Fi A1458","Account Locked Disposal","Grade C - Acceptable Condition",16GB,Black,"Not Applicable",,,,,1
Apple,"iPad 4 16GB Wi-Fi A1458",BER,"Grade D",16GB,Black,"Not Applicable",,,,,1
Apple,"iPad 4 16GB Wi-Fi A1458",Working,"Grade C - Acceptable Condition",16GB,Black,"Not Applicable",,,,,1
Apple,"iPad 4 16GB Wi-Fi A1458","Working - Minor Issue","Grade C - Acceptable Condition",16GB,Grey,"Not Applicable",,,,,2
Apple,"iPad 4 16GB WiFi + 4G A1459",Working,"Grade A - Very Good Condition",16GB,Black,Unlocked,,,,,3
Apple,"iPad 4 16GB WiFi + 4G A1459",Working,"Grade C - Acceptable Condition",16GB,Black,Unlocked,,,,,3
Apple,"iPad 4 16GB WiFi + 4G A1459","Brand New","Insurance Grade",16GB,Black,Unlocked,,,,,4
Apple,"iPad 4 16GB WiFi + 4G A1459",Working,"Grade B - Good Condition",16GB,Black,Unlocked,,,,,3
Apple,"iPad 4 16GB WiFi + 4G A1459",Working,"Grade B B2B",16GB,Black,Unlocked,,,,,1
Apple,"iPad 4 16GB WiFi + 4G A1459","Working – Minor Screen Burn","Grade C - Acceptable Condition",16GB,White,Unlocked,,,,,1
Apple,"iPad 4 32GB WiFi A1458",Working,"Grade C - Acceptable Condition",32GB,Silver,"Not Applicable",,,,,1
Apple,"iPad 4 32GB WiFi A1458","Working - Minor Issue","Grade C - Acceptable Condition",16GB,White,"Not Applicable",,,,,1
Apple,"IPAD 4 A1460","Working - Minor Issue","Grade B - Good Condition",16GB,Black,"Not Applicable",,,,,1
Apple,"IPAD 4 A1460","Non-working - Need Repair - HardWare",Unknown,32GB,Silver,Damaged,,,,,1
Apple,"IPAD 4 A1460","Non-working - Need Repair - Software",Unknown,16GB,Silver,Damaged,,,,,1
Apple,"iPad 64gb with Wi-Fi + 3G A1337",Working,"Grade C - Acceptable Condition",64GB,Silver,Unlocked,,,,,1
Apple,"IPAD A1455 WIFI + 4G",Non-working,Unknown,16GB,Black,Damaged,,,,,1
Apple,"IPAD A1455 WIFI + 4G","Working – Minor Screen Burn","Grade C - Acceptable Condition",16GB,Black,"EE Network",,,,,1
Apple,"iPad Air 128GB WiFi A1474",Working,"Grade A - Very Good Condition",128GB,Grey,"Not Applicable",,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475",Working,"Grade C - Acceptable Condition",16GB,White,Unlocked,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475","iOS 7 Locked","Grade C - Acceptable Condition",16GB,Grey,Damaged,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475","iOS 7 Locked","Grade D",16GB,Grey,Damaged,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475","iOS 7 Locked","Grade D",16GB,Silver,Damaged,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475",BER,"Grade C - Acceptable Condition",16GB,Grey,Damaged,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475","Working - Minor Issue","Grade D",16GB,Silver,Unlocked,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475",Working,"Grade C - Acceptable Condition",16GB,Gold,Unlocked,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475",Working,"Grade B B2B",16GB,Gold,"Unlocked (O2)",,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475",Working,"Grade B B2B",16GB,Silver,O2,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475",Working,"Grade C - Acceptable Condition",16GB,Silver,O2,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475",Working,"Grade C - Acceptable Condition",16GB,Gold,O2,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475","iOS 7 Locked","Grade C - Acceptable Condition",16GB,Silver,O2,,,,,1
Apple,"iPad Air 16GB WiFi + 4G A1475",Working,"Grade A - Very Good Condition",16GB,Grey,Unlocked,,,,,1
